v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
8.800000000000006e-01	3.000000e+00	1.084310e+00	6.563602e-01	6.776964e-06	1.915690e-03
8.900000000000006e-01	3.000000e+00	1.011110e+00	6.574194e-01	7.047896e-06	1.988890e-03
9.000000000000006e-01	3.000000e+00	9.378794e-01	6.584437e-01	7.319886e-06	2.062121e-03
9.100000000000006e-01	3.000000e+00	8.646367e-01	6.594354e-01	7.592866e-06	2.135363e-03
9.200000000000006e-01	3.000000e+00	7.913994e-01	6.603963e-01	7.866779e-06	2.208601e-03
9.300000000000006e-01	3.000000e+00	7.181836e-01	6.613283e-01	8.141568e-06	2.281816e-03
9.400000000000006e-01	3.000000e+00	6.450034e-01	6.622329e-01	8.417183e-06	2.354997e-03
9.500000000000006e-01	3.000000e+00	5.718724e-01	6.631119e-01	8.693578e-06	2.428128e-03
9.600000000000006e-01	3.000000e+00	4.988047e-01	6.639665e-01	8.970711e-06	2.501195e-03
9.700000000000006e-01	3.000000e+00	4.258382e-01	6.647978e-01	9.248552e-06	2.574162e-03
9.800000000000006e-01	3.000000e+00	3.532907e-01	6.656036e-01	9.527163e-06	2.646709e-03
9.900000000000007e-01	3.000000e+00	2.843655e-01	6.663517e-01	9.807522e-06	2.715634e-03
1.000000000000001e+00	3.000000e+00	2.333747e-01	6.668985e-01	1.009399e-05	2.766625e-03
1.010000000000001e+00	3.000000e+00	2.055660e-01	6.672007e-01	1.038786e-05	2.794434e-03
1.020000000000001e+00	3.000000e+00	1.893046e-01	6.673838e-01	1.068534e-05	2.810695e-03
1.030000000000001e+00	3.000000e+00	1.784661e-01	6.675114e-01	1.098450e-05	2.821534e-03
1.040000000000001e+00	3.000000e+00	1.702847e-01	6.676121e-01	1.128448e-05	2.829715e-03
1.050000000000001e+00	3.000000e+00	1.639977e-01	6.676937e-01	1.158504e-05	2.836002e-03
1.060000000000001e+00	3.000000e+00	1.588241e-01	6.677640e-01	1.188594e-05	2.841176e-03
1.070000000000001e+00	3.000000e+00	1.544210e-01	6.678267e-01	1.218707e-05	2.845579e-03
1.080000000000001e+00	3.000000e+00	1.506048e-01	6.678835e-01	1.248838e-05	2.849395e-03
1.090000000000001e+00	3.000000e+00	1.472435e-01	6.679357e-01	1.278983e-05	2.852757e-03
1.100000000000001e+00	3.000000e+00	1.442431e-01	6.679844e-01	1.309138e-05	2.855757e-03
1.110000000000001e+00	3.000000e+00	1.415355e-01	6.680303e-01	1.339302e-05	2.858464e-03
1.120000000000001e+00	3.000000e+00	1.390700e-01	6.680737e-01	1.369474e-05	2.860930e-03
1.130000000000001e+00	3.000000e+00	1.368078e-01	6.681150e-01	1.399652e-05	2.863192e-03
1.140000000000001e+00	3.000000e+00	1.347188e-01	6.681547e-01	1.429834e-05	2.865281e-03
1.150000000000001e+00	3.000000e+00	1.327788e-01	6.681929e-01	1.460021e-05	2.867221e-03
1.160000000000001e+00	3.000000e+00	1.309685e-01	6.682298e-01	1.490213e-05	2.869031e-03
1.170000000000001e+00	3.000000e+00	1.292721e-01	6.682656e-01	1.520407e-05	2.870728e-03
1.180000000000001e+00	3.000000e+00	1.276764e-01	6.683005e-01	1.550605e-05	2.872324e-03
1.190000000000001e+00	3.000000e+00	1.261702e-01	6.683344e-01	1.580805e-05	2.873830e-03
1.200000000000001e+00	3.000000e+00	1.247445e-01	6.683676e-01	1.611007e-05	2.875255e-03
1.210000000000001e+00	3.000000e+00	1.233912e-01	6.684000e-01	1.641212e-05	2.876609e-03
1.220000000000001e+00	3.000000e+00	1.221034e-01	6.684319e-01	1.671419e-05	2.877897e-03
1.230000000000001e+00	3.000000e+00	1.208753e-01	6.684631e-01	1.701627e-05	2.879125e-03
1.240000000000001e+00	3.000000e+00	1.197017e-01	6.684937e-01	1.731837e-05	2.880298e-03
1.250000000000001e+00	3.000000e+00	1.185780e-01	6.685240e-01	1.762048e-05	2.881422e-03
1.260000000000001e+00	3.000000e+00	1.175004e-01	6.685537e-01	1.792261e-05	2.882499e-03
1.270000000000001e+00	3.000000e+00	1.164653e-01	6.685830e-01	1.822475e-05	2.883535e-03
1.280000000000001e+00	3.000000e+00	1.154695e-01	6.686120e-01	1.852691e-05	2.884530e-03
1.290000000000001e+00	3.000000e+00	1.145102e-01	6.686406e-01	1.882907e-05	2.885490e-03
1.300000000000001e+00	3.000000e+00	1.135850e-01	6.686689e-01	1.913125e-05	2.886415e-03
1.310000000000001e+00	3.000000e+00	1.126915e-01	6.686968e-01	1.943343e-05	2.887308e-03
1.320000000000001e+00	3.000000e+00	1.118278e-01	6.687244e-01	1.973562e-05	2.888172e-03
1.330000000000001e+00	3.000000e+00	1.109919e-01	6.687518e-01	2.003782e-05	2.889008e-03
